"ID","Title","Estimate","Expected Result","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Type","Updated By","Updated On"
"C6","Загрузка сайта","","Сайт загружается и доступен","","Critical","","Тестирование платформы Bumbleby","0","","Тестирование платформы Bumbleby","","1. Запустить браузер  Chrom
2. Перейти по сслке https://qa.neapro.site","","","","","","Master","S1","Smoke & Sanity","Maria Bondarenko","10/16/2022 2:34 PM"
"C7","Наличие favicon","","Отображается favicon.","1.Запустить браузер  Chrom
2. Перейти по сслке https://qa.neapro.site","Low","","Тестирование платформы Bumbleby","0","","Тестирование платформы Bumbleby","","1. Визуальный осмотр наличия favicon.","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:35 PM"
"C14","Наличие логотипа","","Логотип есть и соответсвует ТЗ","1.Запустить браузер Chrom 
2.Перейти по сслке https://qa.neapro.site","Low","","Главная страница платформы","0","","Главная страница платформы","","1. Найти элемент
2. Проверить наличия логтипа","","","","","","Master","S1","Functional","Maria Bondarenko","10/16/2022 2:35 PM"
"C15","Наличие загаловка главной страницы","","Загаловок есть","1.Запустить браузер Chrom 
2.Перейти по сслке https://qa.neapro.site
3.Открыть DevTools","Medium","","Загаловок Главной страницы","1","","Главная страница платформы > Загаловок Главной страницы","","1. Найти элемент
2. Проверить наличие ""Заголовка""","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:35 PM"
"C16","Правописание загаловка формы авторизации","","Наименование загаловока указано верно и не имеет орфографических ошибок","1. Найти элемент","Medium","","Загаловок Главной страницы","1","","Главная страница платформы > Загаловок Главной страницы","","1. Праверить правописание  загаловка главной платформы","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:53 PM"
"C17","Наличие загаловка формы авторизации","","Загаловок есть","1.Запустить браузер Chrom 
2.Вставить ссылку https://qa.neapro.site 
3.Открыть DevTools","Medium","","Загаловок формы","2","","Главная страница платформы > Форма авторизации > Загаловок формы","","1. Найти элемент загаловок формы авторизации
2. Проверить наличие ""Заголовка""","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 1:21 PM"
"C18","Правописание заголовка формы авторизации","","Наименование загаловока указано верно и не имеет орфографических ошибок","1. Найти элемент","Medium","","Загаловок формы","2","","Главная страница платформы > Форма авторизации > Загаловок формы","","1. Праверить орфографию","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:54 PM"
"C19","Наличие поля Логин","","Поле ввода отображается","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","Critical","","Поле ввода Логин","2","","Главная страница платформы > Форма авторизации > Поле ввода Логин","","1. Найти поле ввода Логин
2. Проверить наличие поля ввода Логин","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:34 PM"
"C49","Наличие плейсхолдера поля Логин","","Плейсхолдер отображается и не имеет орфографических ошибок","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","High","","Поле ввода Логин","2","","Главная страница платформы > Форма авторизации > Поле ввода Логин","","1. Найти поле ввода Логин
2. Проверить наличие плейсхолдера
3. Проверить орфографию плейсхолдера","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:39 PM"
"C71","Ховер эффект поля ввода Логин","","Указатель мыши меняется на ""Курсор""","1. Найти элемент","Low","","Поле ввода Логин","2","","Главная страница платформы > Форма авторизации > Поле ввода Логин","","1. Навести курсор на поле ввода Логин","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:10 PM"
"C50","Максимальное количество символов для поля Логин","","Полее ввода логин не меняет свое местоположение относительно формы авторизации.
Не перекрывает другие поля формы","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","High","","Поле ввода Логин","2","","Главная страница платформы > Форма авторизации > Поле ввода Логин","","1. Ввести в поле Логин не мене 500 символов","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:44 PM"
"C23","Логин - Email  с точкой в адресе","","Валидация пройдена","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод валидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод валидного email","","1 Ввести в поле Логин Email  точкой в адресе","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:00 PM"
"C26","Логин -Email  с субдоменом","","Валидация пройдена","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод валидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод валидного email","","1 Ввести в поле Логин Email  с субдоменом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:01 PM"
"C28","Логин -Email  цифровым доменом","","Валидация пройдена","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод валидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод валидного email","","1 Ввести в поле Логин Email  с цифровым доменом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:01 PM"
"C29","Логин -Email с цифровым адресом","","Валидация пройдена","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод валидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод валидного email","","1 Ввести в поле Логин Email с цифровым адресом ","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:01 PM"
"C30","Логин -Email  с знаком ""-"" в домене","","Валидация пройдена","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод валидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод валидного email","","1 Ввести в поле Логин Email  с знаком ""-"" в домене","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:01 PM"
"C31","Логин - Email  без домена","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email без домена","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:17 PM"
"C34","Логин - Email  без @","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email без @","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:18 PM"
"C40","Логин - Emailс @@","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с @@","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:18 PM"
"C39","Логин - Email  с пропущеным адресом","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с пропущеным адресом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:19 PM"
